AVERAGE ORBIT DISTANCE OVER TIME,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.03,39.49,366.975159,19.1565952
2,0.06,31.991,340.63736,18.4563637
3,0.16,24.956,293.343903,17.127285
4,0.25,18.759,223.47142,14.9489603
5,0.33,13.456,149.10643,12.2109146
6,0.37,9.1575,85.2109985,9.23098087
7,0.39,6.033,40.9231186,6.39711809
8,0.43,4.0985,18.5241337,4.303967
9,0.43,3.4921,9.78317356,3.12780666
10,0.48,2.9185,7.14914131,2.67378783
11,0.6,2.5206,8.03136444,2.83396626
12,0.71,1.8925,5.8898716,2.42690587
13,0.72,1.7575,4.43819094,2.10670137
14,0.76,1.4684,4.12624788,2.03131676
15,0.86,1.3369,2.70575094,1.64491665
16,0.81,1.2657,2.15607333,1.46835732
17,0.81,1.1484,1.14952314,1.07215822
18,0.83,1.0392,0.776690602,0.881300509
19,0.81,1.2085,2.26339126,1.50445712
20,0.86,1.0463,0.694506884,0.833370805
21,0.83,1.0403,0.730833113,0.854887784
22,0.82,1.1607,0.813984156,0.902210712
23,0.76,1.2631,1.14617896,1.07059753
24,0.77,1.2436,1.2506417,1.11832094
25,0.8,1.1149,0.903326213,0.950434744
26,0.81,1.0679,0.889457822,0.943110704
27,0.83,1.045,0.764046252,0.874097407
28,0.87,0.99322,0.591576457,0.769140065
29,0.85,1.0557,0.780861974,0.883663952
30,0.86,1.0454,0.983535469,0.991733551
31,0.81,1.0966,1.01975584,1.00982964
32,0.8,1.1025,1.08467889,1.04147911
33,0.8,1.1765,1.03859556,1.01911509
34,0.8,1.1639,0.949689925,0.974520385
35,0.82,1.1153,0.828832805,0.910402536
36,0.8,1.1723,1.05163157,1.02549088
37,0.87,0.9972,0.881385803,0.938821495
38,0.85,1.0137,0.929184854,0.963942349
39,0.84,1.0467,0.868702412,0.932042062
40,0.82,1.0585,0.91758585,0.957907021
41,0.84,1.0206,0.840396225,0.916731298
42,0.81,1.1409,1.09120822,1.04460907
43,0.81,1.1165,0.894225538,0.945635021
44,0.8,1.1649,1.00025046,1.00012517
45,0.79,1.2295,1.0743717,1.03651905
46,0.81,1.1658,0.923992813,0.961245418
47,0.82,1.1496,1.16462314,1.07917702
48,0.89,0.98585,0.61884439,0.786666632
49,0.85,0.95727,0.846064627,0.919817686
50,0.84,1.014,0.71875298,0.847792983
51,0.85,1.022,0.84388572,0.918632507
52,0.83,1.0228,0.848818243,0.921313345
53,0.84,1.0799,0.947781146,0.973540545
54,0.81,1.1349,1.03760552,1.01862919
55,0.8,1.1638,0.88906616,0.942903042
56,0.82,1.1031,0.937950253,0.968478322
57,0.78,1.1869,1.0126102,1.00628543
58,0.83,1.079,0.805629551,0.897568703
59,0.86,1.0066,0.734565258,0.857067823
60,0.84,1.0544,0.747164786,0.864386916
61,0.83,1.0104,0.867040575,0.931150138
62,0.81,1.0744,0.859482706,0.927082896
63,0.83,1.0444,0.842267871,0.917751551
64,0.8,1.142,0.886832058,0.941717625
65,0.79,1.1837,1.02447939,1.01216567
66,0.82,1.0885,0.916079342,0.957120359
67,0.83,1.1153,0.81436795,0.902423382
68,0.83,1.055,0.85242492,0.923268616
69,0.81,1.1435,0.954225898,0.976844847
70,0.83,1.0426,0.807451963,0.898583293
71,0.85,1.02,0.747101307,0.8643502
72,0.87,1.0027,0.66614151,0.816174924
73,0.83,1.0383,0.908942878,0.953384936
74,0.82,1.1129,1.02625489,1.01304245
75,0.8,1.1402,1.04003727,1.01982224
76,0.78,1.2133,1.09076166,1.04439533
77,0.8,1.1696,0.890308917,0.943561792
78,0.8,1.1309,0.911260366,0.954599559
79,0.83,1.1058,0.77508837,0.880391002
80,0.82,1.0158,0.862920761,0.928935289
81,0.85,1.0952,0.925056636,0.961798608
82,0.87,0.98864,0.747668087,0.864678025
83,0.85,0.97466,0.757467508,0.870326102
84,0.89,0.99438,0.743878305,0.862483799
85,0.81,1.0478,0.796805382,0.892639577
86,0.81,1.1232,0.776370764,0.881119013
87,0.78,1.1517,1.03499055,1.01734483
88,0.8,1.2271,1.23471165,1.11117578
89,0.78,1.1966,1.06541574,1.03218973
90,0.81,1.0941,1.08742189,1.04279518
91,0.84,1.1251,1.03094149,1.01535285
92,0.84,1.0838,1.14814448,1.07151508
93,0.84,1.0121,0.618040502,0.786155522
94,0.82,1.0523,0.796531677,0.892486274
95,0.84,1.0703,0.922375977,0.960404098
96,0.81,1.0944,0.894848466,0.945964336
97,0.84,1.0269,0.806050241,0.897803009
98,0.8,1.1411,0.883112073,0.939740419
99,0.82,1.118,0.919578791,0.958946705
100,0.82,1.1331,0.812698722,0.90149802
101,0.8,1.0872,0.879427016,0.937777698
102,0.8,1.1133,1.0274117,1.01361322
103,0.88,1.0112,0.882259905,0.939286888
104,0.91,0.95623,0.735795438,0.857785165
105,0.83,1.0594,0.792084455,0.889991283
106,0.79,1.0544,0.777591228,0.881811321
107,0.81,1.1054,0.861768425,0.928314805
108,0.83,1.1797,0.930015326,0.964372993
109,0.8,1.1688,1.1776762,1.08520794
110,0.79,1.1427,0.826975763,0.909382105
111,0.81,1.0925,0.842957258,0.918127
112,0.83,1.1044,0.715223908,0.845709145
113,0.86,0.99074,0.772782862,0.879080713
114,0.87,0.9952,0.74347347,0.862249076
115,0.85,1.0004,0.714935362,0.845538497
116,0.83,1.0176,0.88170737,0.938992739
117,0.84,1.0539,1.00024092,1.0001204
118,0.83,1.0224,0.751114666,0.866668701
119,0.84,1.0608,0.679607689,0.824383259
120,0.8,1.1645,0.939878345,0.969473243
,,,,
-------------------------------------------------------------------------------------------------,,,,
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1,0.03,41.055,370.882263,19.2583046
2,0.06,33.505,348.408203,18.6656971
3,0.13,26.292,306.748871,17.5142479
4,0.21,19.835,244.772049,15.6451921
5,0.29,14.19,179.473755,13.396781
6,0.38,9.6648,116.240532,10.7814903
7,0.41,6.8433,64.2459335,8.01535606
8,0.34,5.3887,32.3494263,5.68765545
9,0.42,3.942,15.8972616,3.98713708
10,0.5,3.0188,8.78599453,2.964118
11,0.65,2.0215,4.19082069,2.04714942
12,0.79,1.4331,2.15437937,1.46778047
13,0.81,1.2301,1.59706259,1.26374936
14,0.84,1.071,1.22002661,1.10454822
15,0.86,1.0385,1.38368118,1.17629981
16,0.88,0.96744,1.06970191,1.03426397
17,0.87,0.9529,0.866402805,0.93080759
18,0.83,1.0548,1.10964143,1.05339527
19,0.81,1.1332,1.08718443,1.04268134
20,0.79,1.1548,0.916772366,0.957482338
21,0.81,1.1248,0.824898303,0.908239126
22,0.81,1.1131,0.785799801,0.886453509
23,0.81,1.0816,0.822665811,0.907009244
24,0.9,0.99994,0.761946797,0.872895658
25,0.88,0.93577,0.791342199,0.88957417
26,0.89,0.95027,0.585903525,0.765443325
27,0.91,0.93237,0.606547594,0.778811693
