-------------------------------------------------------------------------------------------------
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1, 0.06, 36.916, 403.54895, 20.0885277
2, 0.096, 30.889, 371.279449, 19.2686138
3, 0.13, 25.49, 319.768463, 17.8820705
4, 0.12, 21.186, 251.073776, 15.8453074
5, 0.088, 17.875, 181.649109, 13.477726
6, 0.084, 15.08, 126.418465, 11.243597
7, 0.096, 12.661, 88.1350784, 9.38802814
8, 0.17, 9.7041, 70.8132095, 8.41505909
9, 0.34, 6.8414, 59.8860512, 7.73860788
10, 0.5, 4.3246, 39.6107483, 6.29370689
11, 0.48, 3.3302, 22.45928, 4.73912239
12, 0.46, 3.6776, 18.4362736, 4.29374838
13, 0.46, 4.0708, 17.6473503, 4.20087481
14, 0.52, 3.5885, 14.4828367, 3.80563235
15, 0.63, 2.6513, 10.1026611, 3.17846823
16, 0.69, 2.4221, 10.9467821, 3.30859208
17, 0.74, 1.901, 6.97954035, 2.64188194
18, 0.77, 1.6268, 5.64926767, 2.3768189
19, 0.77, 1.7897, 7.78492689, 2.79014826
20, 0.74, 2.1803, 10.9373941, 3.30717301
21, 0.8, 1.7405, 7.45739222, 2.73082256
22, 0.85, 1.2568, 5.03878021, 2.24472284
23, 0.88, 1.302, 6.87849331, 2.62268806
24, 0.85, 1.3587, 7.86064148, 2.80368352
25, 0.88, 0.99585, 4.59845018, 2.14439964
26, 0.92, 0.7845, 3.63138103, 1.90561831
27, 0.94, 0.61679, 2.07692719, 1.44115484
28, 0.96, 0.5771, 2.09500861, 1.4474144
29, 0.96, 0.63851, 3.04618073, 1.74533105
30, 0.93, 0.84764, 5.0322485, 2.2432673
31, 0.9, 1.0808, 7.37914133, 2.71645761
32, 0.91, 0.77759, 4.45195818, 2.10996652
33, 0.93, 0.62674, 3.95501924, 1.98872304
34, 0.95, 0.40262, 2.39519215, 1.5476408
35, 0.97, 0.23411, 0.877026558, 0.936496973
36, 0.99, 0.1242, 0.119055428, 0.345044106
37, 1, 0.10671, 0.130800232, 0.361663133
38, 1, 0.081915, 0.0258280989, 0.160711229
39, 1, 0.075075, 0.0192880109, 0.138881281
40, 1, 0.096705, 0.351633638, 0.592987061
41, 0.99, 0.12473, 0.669411659, 0.818175793
42, 0.99, 0.11979, 0.543911636, 0.737503648
43, 1, 0.072379, 0.063984111, 0.252950817
44, 1, 0.05614, 0.00258922367, 0.0508844145
45, 1, 0.053395, 0.000525650277, 0.0229270644
46, 1, 0.053013, 0.000457115064, 0.0213802494
47, 1, 0.05296, 0.000451865664, 0.0212571323
48, 1, 0.052954, 0.000451188447, 0.0212411974
49, 1, 0.052952, 0.00045112212, 0.0212396365
50, 1, 0.052952, 0.000451125321, 0.021239711
51, 1, 0.052952, 0.000451128522, 0.0212397873
52, 1, 0.052953, 0.000451095431, 0.0212390069
53, 1, 0.052952, 0.00045110684, 0.0212392751
54, 1, 0.052953, 0.000451081549, 0.0212386809
55, 1, 0.052952, 0.000451135624, 0.0212399531
56, 1, 0.052952, 0.000451089349, 0.0212388635
57, 1, 0.052952, 0.000451088126, 0.0212388355
58, 1, 0.052952, 0.000451061991, 0.0212382209
59, 1, 0.052953, 0.000451090746, 0.021238897
60, 1, 0.052952, 0.000451123109, 0.0212396588
61, 1, 0.052953, 0.000451121537, 0.0212396216
62, 1, 0.052952, 0.00045112829, 0.0212397799
63, 1, 0.052953, 0.00045112177, 0.0212396272
64, 1, 0.052952, 0.000451085391, 0.0212387703
65, 1, 0.052952, 0.00045110425, 0.0212392155
66, 1, 0.052952, 0.000451095897, 0.0212390181
67, 1, 0.052953, 0.000451108266, 0.0212393086
68, 1, 0.052952, 0.000451091037, 0.0212389044
69, 1, 0.052952, 0.000451099273, 0.0212390982
70, 1, 0.052952, 0.000451109488, 0.0212393384
71, 1, 0.052952, 0.000451121916, 0.0212396309
72, 1, 0.052953, 0.000451136933, 0.0212399848
73, 1, 0.052953, 0.000451138534, 0.021240022
74, 1, 0.052954, 0.000451121014, 0.0212396085
75, 1, 0.052953, 0.000451111438, 0.0212393831
76, 1, 0.052953, 0.000451131316, 0.0212398525
77, 1, 0.052952, 0.0004510906, 0.0212388933
78, 1, 0.052952, 0.000451116211, 0.0212394968
79, 1, 0.052952, 0.000451126951, 0.0212397501
80, 1, 0.052952, 0.000451099768, 0.0212391093
81, 1, 0.052952, 0.000451106374, 0.0212392639
82, 1, 0.052952, 0.000451094122, 0.0212389752
83, 1, 0.052952, 0.000451125612, 0.0212397184
84, 1, 0.052953, 0.000451128086, 0.0212397762
85, 1, 0.052952, 0.00045109482, 0.021238992
86, 1, 0.052953, 0.000451118365, 0.0212395471
87, 1, 0.052953, 0.000451109867, 0.0212393478
88, 1, 0.052953, 0.000451162399, 0.0212405846
89, 1, 0.052953, 0.000451113941, 0.0212394428
90, 1, 0.052952, 0.000451094878, 0.0212389939
91, 1, 0.052952, 0.000451143394, 0.0212401375
92, 1, 0.052953, 0.000451134198, 0.0212399196
93, 1, 0.052953, 0.000451121421, 0.0212396197
94, 1, 0.052953, 0.000451118394, 0.0212395489
95, 1, 0.052952, 0.000451091124, 0.0212389063
96, 1, 0.052954, 0.000451095839, 0.0212390181
97, 1, 0.052952, 0.000451116386, 0.0212395005
98, 1, 0.052952, 0.000451152184, 0.0212403443
99, 1, 0.052953, 0.000451114465, 0.0212394558
100, 1, 0.052952, 0.00045107794, 0.0212385952
101, 1, 0.052952, 0.000451115164, 0.0212394726
102, 1, 0.052953, 0.000451138098, 0.0212400109
103, 1, 0.052952, 0.000451144035, 0.0212401524
104, 1, 0.052952, 0.00045111237, 0.0212394055
105, 1, 0.052952, 0.000451108295, 0.0212393105
106, 1, 0.052953, 0.000451131578, 0.0212398581
107, 1, 0.052952, 0.000451095577, 0.0212390106
108, 1, 0.052952, 0.000451097585, 0.021239059
109, 1, 0.052952, 0.000451129774, 0.0212398153
110, 1, 0.052952, 0.000451108295, 0.0212393105
111, 1, 0.052953, 0.000451091793, 0.0212389212
112, 1, 0.052952, 0.000451094966, 0.0212389957
113, 1, 0.052953, 0.000451114669, 0.0212394595
114, 1, 0.052952, 0.000451071945, 0.0212384537
115, 1, 0.052951, 0.000451109256, 0.0212393329
116, 1, 0.052952, 0.000451139495, 0.0212400444
117, 1, 0.052952, 0.000451132801, 0.0212398879
118, 1, 0.052953, 0.000451144879, 0.021240171
119, 1, 0.052953, 0.000451114553, 0.0212394577
120, 1, 0.052952, 0.00045111269, 0.0212394148

-------------------------------------------------------------------------------------------------
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1, 0.052, 36.476, 362.697906, 19.0446301
2, 0.098, 30.403, 326.741638, 18.0759964
3, 0.12, 25.066, 271.818665, 16.4869232
4, 0.12, 20.671, 209.988586, 14.490983
5, 0.11, 17.07, 153.165604, 12.376009
6, 0.11, 14.332, 104.900658, 10.2421026
7, 0.11, 12.003, 70.309433, 8.38507175
8, 0.17, 9.4585, 53.4921227, 7.31383085
9, 0.35, 6.2565, 44.4970741, 6.67061281
10, 0.48, 3.7508, 26.2683392, 5.12526464
11, 0.5, 3.0512, 15.1014881, 3.88606334
12, 0.46, 3.4482, 13.6281366, 3.6916306
13, 0.49, 3.6532, 14.4655151, 3.80335593
14, 0.55, 3.187, 12.6001377, 3.54966736
15, 0.63, 2.596, 10.5080328, 3.24160957
16, 0.72, 2.1064, 8.66336632, 2.94335961
17, 0.78, 1.7486, 6.77056122, 2.60203028
18, 0.79, 1.6203, 5.99659443, 2.4487946
19, 0.77, 1.8524, 8.21925449, 2.86692405
20, 0.76, 2.1609, 11.1760302, 3.34305716
21, 0.8, 1.7038, 7.4976058, 2.73817563
22, 0.86, 1.328, 6.02262831, 2.45410442
23, 0.87, 1.2855, 6.81959295, 2.61143494
24, 0.85, 1.3238, 7.87964392, 2.80707026
25, 0.88, 0.97098, 4.73436689, 2.17585993
26, 0.91, 0.77853, 3.66867828, 1.91537941
27, 0.95, 0.55121, 1.7149688, 1.30956817
28, 0.97, 0.49097, 1.64241958, 1.28156924
29, 0.96, 0.68661, 3.87050962, 1.96736109
30, 0.92, 0.92669, 6.54176664, 2.55768776
31, 0.91, 0.84436, 5.33478785, 2.30971599
32, 0.93, 0.64556, 4.15735817, 2.03896022
33, 0.94, 0.4548, 2.77704859, 1.66644788
34, 0.97, 0.20664, 0.492045969, 0.701459885
35, 0.99, 0.13745, 0.377945065, 0.614772379
36, 1, 0.10443, 0.164238259, 0.405263215
37, 1, 0.080033, 0.0314661749, 0.177387074
38, 1, 0.072646, 0.0188909713, 0.137444422
39, 1, 0.070343, 0.017652452, 0.132862538
40, 0.99, 0.13955, 0.818643987, 0.904789448
41, 0.99, 0.099609, 0.281365544, 0.530439019
42, 1, 0.062575, 0.0221503489, 0.148829937
43, 1, 0.053393, 0.00107969809, 0.0328587592
44, 1, 0.052016, 0.000472227373, 0.0217307936
45, 1, 0.051827, 0.000445925776, 0.0211169552
46, 1, 0.051801, 0.000443373225, 0.0210564286
47, 1, 0.051798, 0.00044306193, 0.0210490357
48, 1, 0.051797, 0.00044301289, 0.0210478716
49, 1, 0.051798, 0.00044305023, 0.0210487582
50, 1, 0.051798, 0.000443049212, 0.021048734
51, 1, 0.051798, 0.000443021243, 0.021048069
52, 1, 0.051798, 0.000443002325, 0.0210476201
53, 1, 0.051799, 0.000443025929, 0.0210481808
54, 1, 0.051798, 0.000443022349, 0.0210480969
55, 1, 0.051797, 0.000442993187, 0.021047404
56, 1, 0.051797, 0.000443014695, 0.0210479144
57, 1, 0.051797, 0.000442970922, 0.021046875
58, 1, 0.051798, 0.000443020079, 0.0210480411
59, 1, 0.051798, 0.000442980469, 0.0210471004
60, 1, 0.051798, 0.000443015364, 0.0210479293
61, 1, 0.051798, 0.000443033146, 0.0210483521
62, 1, 0.051798, 0.000443031837, 0.0210483223
63, 1, 0.051798, 0.000443033816, 0.0210483689
64, 1, 0.051798, 0.000442994671, 0.0210474394
65, 1, 0.051797, 0.000442990742, 0.0210473444
66, 1, 0.051798, 0.000443003693, 0.0210476536
67, 1, 0.051797, 0.000443006109, 0.0210477114
68, 1, 0.051796, 0.000442980818, 0.0210471097
69, 1, 0.051797, 0.00044301484, 0.0210479181
70, 1, 0.051797, 0.000442993711, 0.0210474152
71, 1, 0.051796, 0.000442987861, 0.0210472774
72, 1, 0.051797, 0.000443013443, 0.0210478846
73, 1, 0.051797, 0.000443006051, 0.0210477095
74, 1, 0.051798, 0.000443021418, 0.0210480746
75, 1, 0.051799, 0.00044302718, 0.0210482106
76, 1, 0.051797, 0.000443006982, 0.02104773
77, 1, 0.051797, 0.000443023251, 0.0210481174
78, 1, 0.051797, 0.000443066994, 0.0210491568
79, 1, 0.051797, 0.000443053083, 0.0210488271
80, 1, 0.051797, 0.000443022, 0.0210480876
81, 1, 0.051798, 0.000443050143, 0.0210487563
82, 1, 0.051797, 0.000443060911, 0.0210490115
83, 1, 0.051797, 0.000443020283, 0.0210480466
84, 1, 0.051797, 0.000442991673, 0.0210473668
85, 1, 0.051797, 0.000442976365, 0.0210470036
86, 1, 0.051798, 0.000443038007, 0.0210484676
87, 1, 0.051797, 0.00044298367, 0.0210471768
88, 1, 0.051797, 0.000443041703, 0.0210485552
89, 1, 0.051798, 0.000443013821, 0.0210478939
90, 1, 0.051799, 0.000443041703, 0.0210485552
91, 1, 0.051798, 0.000443036202, 0.0210484248
92, 1, 0.051797, 0.000443009456, 0.0210477896
93, 1, 0.051798, 0.000443001831, 0.0210476089
94, 1, 0.051798, 0.000443019031, 0.0210480168
95, 1, 0.051799, 0.000443007419, 0.0210477412
96, 1, 0.051798, 0.000443047087, 0.0210486837
97, 1, 0.051797, 0.000443027471, 0.021048218
98, 1, 0.051797, 0.000443035387, 0.0210484061
99, 1, 0.051797, 0.000443000928, 0.0210475884
100, 1, 0.051797, 0.000443038123, 0.0210484713
101, 1, 0.051798, 0.000443013443, 0.0210478846
102, 1, 0.051798, 0.000442987337, 0.0210472643
103, 1, 0.051798, 0.000443005963, 0.0210477076
104, 1, 0.051797, 0.000443019439, 0.021048028
105, 1, 0.051797, 0.000442996708, 0.0210474879
106, 1, 0.051798, 0.000443004683, 0.021047676
107, 1, 0.051797, 0.000443028577, 0.0210482441
108, 1, 0.051798, 0.000443035358, 0.0210484043
109, 1, 0.051798, 0.000443021621, 0.0210480783
110, 1, 0.051797, 0.000443045923, 0.0210486557
111, 1, 0.051797, 0.000443025288, 0.0210481659
112, 1, 0.051798, 0.000443019468, 0.021048028
113, 1, 0.051797, 0.000443044904, 0.0210486315
114, 1, 0.051798, 0.000443027267, 0.0210482124
115, 1, 0.051797, 0.0004430275, 0.021048218
116, 1, 0.051798, 0.000443028868, 0.0210482515
117, 1, 0.051797, 0.000443014578, 0.0210479107
118, 1, 0.051798, 0.000443014491, 0.0210479088
119, 1, 0.051798, 0.000442999619, 0.0210475568
120, 1, 0.051797, 0.000443022291, 0.0210480951

-------------------------------------------------------------------------------------------------
time, convergence factor, orbit distance average, orbit distance variance, orbit distance std dev
1, 0.046, 36.163, 344.867188, 18.5706005
2, 0.088, 29.95, 319.635559, 17.878355
3, 0.12, 24.565, 271.882416, 16.4888573
4, 0.13, 20.151, 212.174194, 14.5662003
5, 0.13, 16.709, 153.248489, 12.3793573
6, 0.1, 14.151, 103.482048, 10.1726122
7, 0.11, 11.812, 72.1383133, 8.49342823
8, 0.16, 9.2694, 56.7967911, 7.53636456
9, 0.35, 6.2652, 48.2697639, 6.94764471
10, 0.51, 3.7191, 28.7991791, 5.36648655
11, 0.48, 3.1198, 16.9901218, 4.12190771
12, 0.48, 3.4847, 16.120163, 4.01499224
13, 0.5, 3.7093, 15.9581833, 3.99476957
14, 0.59, 2.9538, 11.451827, 3.38405466
15, 0.67, 2.4905, 10.4736404, 3.23630047
16, 0.73, 2.0975, 8.73532009, 2.95555758
17, 0.75, 1.9331, 8.15680504, 2.85601211
18, 0.79, 1.6571, 6.10692167, 2.47121859
19, 0.75, 2.043, 9.88314342, 3.14374661
20, 0.73, 2.1227, 10.1882935, 3.19191074
21, 0.82, 1.4847, 5.93975973, 2.43716216
22, 0.86, 1.3878, 7.07892418, 2.66062474
23, 0.86, 1.2972, 6.81645918, 2.61083508
24, 0.86, 1.281, 7.23379278, 2.68957114
25, 0.88, 0.96717, 4.78907776, 2.18839622
26, 0.92, 0.76256, 3.43497896, 1.85336959
27, 0.95, 0.53201, 1.318331, 1.14818597
28, 0.96, 0.59404, 2.56378245, 1.60118163
29, 0.95, 0.70512, 3.53437424, 1.87999308
30, 0.93, 0.76632, 4.19206047, 2.04745221
31, 0.92, 0.82761, 5.29949713, 2.3020637
32, 0.93, 0.55525, 2.82517362, 1.68082523
33, 0.96, 0.44296, 2.62335134, 1.61967635
34, 0.97, 0.22598, 0.758353591, 0.870835006
35, 0.99, 0.1103, 0.0923167691, 0.303836763
36, 1, 0.078811, 0.0261668451, 0.161761701
37, 1, 0.068745, 0.0145356376, 0.120563835
38, 1, 0.061701, 0.00827200152, 0.0909505486
39, 1, 0.083744, 0.341378868, 0.584276378
40, 1, 0.067883, 0.0749909356, 0.273844719
41, 1, 0.068883, 0.100935638, 0.317703694
42, 1, 0.055829, 0.00633012922, 0.0795621127
43, 1, 0.052642, 0.00059101131, 0.0243107248
44, 1, 0.052186, 0.000437813898, 0.0209240038
45, 1, 0.052123, 0.00043005959, 0.020737879
46, 1, 0.052114, 0.000429256033, 0.0207184944
47, 1, 0.052112, 0.000429137406, 0.0207156315
48, 1, 0.052113, 0.000429133652, 0.0207155421
49, 1, 0.052113, 0.000429126609, 0.0207153708
50, 1, 0.052113, 0.000429134088, 0.0207155515
51, 1, 0.052112, 0.000429133011, 0.0207155254
52, 1, 0.052112, 0.000429100241, 0.0207147356
53, 1, 0.052112, 0.000429125153, 0.0207153354
54, 1, 0.052113, 0.000429135223, 0.0207155794
55, 1, 0.052113, 0.000429130072, 0.0207154546
56, 1, 0.052113, 0.00042912527, 0.0207153391
57, 1, 0.052112, 0.000429124077, 0.0207153093
58, 1, 0.052112, 0.000429113599, 0.0207150578
59, 1, 0.052113, 0.000429117063, 0.0207151398
60, 1, 0.052112, 0.000429074746, 0.0207141191
61, 1, 0.052112, 0.000429149688, 0.0207159277
62, 1, 0.052113, 0.000429147825, 0.020715883
63, 1, 0.052113, 0.000429141015, 0.0207157191
64, 1, 0.052113, 0.000429125852, 0.0207153521
65, 1, 0.052113, 0.000429131527, 0.02071549
66, 1, 0.052113, 0.000429101841, 0.0207147729
67, 1, 0.052113, 0.00042910999, 0.0207149703
68, 1, 0.052113, 0.000429153268, 0.0207160152
69, 1, 0.052113, 0.000429138367, 0.0207156558
70, 1, 0.052113, 0.000429132459, 0.0207155123
71, 1, 0.052112, 0.00042912655, 0.0207153689
72, 1, 0.052113, 0.000429098174, 0.0207146853
73, 1, 0.052112, 0.000429133564, 0.0207155384
74, 1, 0.052113, 0.000429117732, 0.0207151566
75, 1, 0.052112, 0.000429144799, 0.0207158104
76, 1, 0.052111, 0.000429097941, 0.0207146797
77, 1, 0.052113, 0.00042913889, 0.0207156688
78, 1, 0.052112, 0.0004291285, 0.0207154173
79, 1, 0.052113, 0.00042912754, 0.0207153931
80, 1, 0.052113, 0.000429120875, 0.0207152329
81, 1, 0.052113, 0.000429119566, 0.0207152013
82, 1, 0.052113, 0.000429156295, 0.0207160879
83, 1, 0.052112, 0.000429079373, 0.0207142308
84, 1, 0.052113, 0.000429117674, 0.0207151566
85, 1, 0.052112, 0.000429085136, 0.0207143705
86, 1, 0.052113, 0.000429158885, 0.0207161512
87, 1, 0.052113, 0.000429131498, 0.02071549
88, 1, 0.052113, 0.000429139356, 0.0207156781
89, 1, 0.052113, 0.000429130043, 0.0207154546
90, 1, 0.052113, 0.000429128879, 0.0207154267
91, 1, 0.052112, 0.000429118052, 0.0207151659
92, 1, 0.052113, 0.000429114589, 0.0207150821
93, 1, 0.052112, 0.000429129461, 0.0207154397
94, 1, 0.052112, 0.000429136184, 0.0207156017
95, 1, 0.052112, 0.000429105334, 0.0207148585
96, 1, 0.052112, 0.000429113978, 0.0207150672
97, 1, 0.052113, 0.000429146719, 0.0207158569
98, 1, 0.052112, 0.00042914378, 0.0207157861
99, 1, 0.052113, 0.000429135252, 0.0207155794
100, 1, 0.052113, 0.000429124659, 0.0207153242
101, 1, 0.052112, 0.000429089618, 0.0207144786
102, 1, 0.052113, 0.000429136067, 0.0207155999
